N	Memory
207010	0.0
208010	0.0625
209010	0.0
210010	-0.2265625
211010	0.03125
212010	0.0703125
213010	0.0
214010	0.0625
215010	0.0
216010	0.0625
217010	0.0
218010	-0.2265625
219010	0.03125
220010	0.0703125
221010	-0.0546875
222010	0.3125
223010	0.25
224010	0.0625
225010	0.0
226010	-0.23046875
227010	0.03125
228010	0.07421875
229010	0.0
230010	0.0625
231010	0.0
232010	0.0625
233010	0.0
234010	-0.23046875
235010	0.03125
236010	0.07421875
237010	0.0
238010	0.3125
239010	0.0
240010	0.0625
241010	0.0
242010	-0.234375
243010	0.03125
244010	0.078125
245010	0.0
246010	0.0625
247010	0.0
248010	0.0625
249010	0.0
250010	-0.23046875
251010	0.03125
252010	0.07421875
253010	0.0
254010	0.3125
255010	0.0
256010	0.0625
257010	0.0
258010	-0.234375
259010	0.03125
260010	0.03125
261010	0.046875
262010	0.0625
263010	0.0
264010	0.0625
265010	0.0
266010	-0.234375
267010	0.03125
268010	0.078125
269010	-0.015625
270010	0.328125
271010	0.0
272010	0.0625
273010	0.0
274010	-0.23828125
275010	0.03125
276010	0.08203125
277010	0.0
278010	0.0625
279010	0.0
280010	0.0625
281010	0.0
282010	-0.23828125
283010	0.03125
284010	0.08203125
285010	0.0
286010	0.3125
287010	0.0
288010	0.0625
289010	0.0
290010	-0.2421875
291010	0.03125
292010	0.0859375
293010	0.0
294010	0.0625
295010	0.0
296010	0.0625
297010	0.0
298010	-0.23828125
299010	0.03125
300010	0.08203125
301010	0.0
302010	0.3125
303010	0.0
304010	0.0625
305010	0.0
306010	-0.2421875
307010	0.03125
308010	0.0859375
309010	0.0
310010	0.0625
311010	0.0
312010	0.0625
313010	0.0
314010	-0.2421875
315010	0.03125
316010	0.3359375
317010	0.0
318010	-0.1875
319010	0.0
320010	0.0625
321010	0.0
322010	-0.24609375
323010	0.03125
324010	0.03125
325010	0.05859375
326010	0.0625
327010	0.0
328010	0.0625
329010	0.0
330010	-0.24609375
331010	0.03125
332010	0.33984375
333010	0.0
334010	0.0
335010	0.0625
336010	0.0
337010	0.0625
338010	0.0
339010	-0.21875
340010	0.03125
341010	0.0625
342010	0.0
343010	0.0625
344010	0.0
345010	0.0625
346010	0.0
347010	-0.21875
348010	0.03125
349010	0.3125
350010	-0.25
351010	0.0625
352010	0.0
353010	0.0625
354010	0.0
355010	-0.22265625
356010	0.03125
357010	0.06640625
358010	0.0
359010	0.0625
360010	0.0
361010	0.0625
362010	0.0
363010	-0.21484375
364010	0.27734375
365010	0.0703125
366010	0.0
367010	0.0625
368010	0.0
369010	0.0859375
370010	-0.0234375
371010	-0.2265625
372010	0.03125
373010	0.0703125
374010	0.0234375
375010	0.0390625
376010	0.0
377010	0.0625
378010	0.25
379010	-0.453125
380010	0.00390625
381010	0.07421875
382010	0.0
383010	0.0625
384010	0.01171875
385010	0.05078125
386010	-0.01171875
387010	-0.21875
388010	0.03125
389010	0.09765625
390010	-0.0234375
391010	0.0625
392010	0.0
393010	0.0625
394010	0.015625
395010	-0.2421875
396010	0.27734375
397010	-0.17578125
398010	0.0
399010	0.0859375
400010	-0.0234375
401010	0.0625
402010	0.0
403010	-0.23046875
404010	0.0546875
405010	0.05078125
406010	0.0
407010	0.0625
408010	0.0
409010	0.0859375
410010	-0.0234375
411010	-0.23046875
412010	0.27734375
413010	0.078125
414010	0.0234375
415010	0.0390625
416010	0.0
417010	0.0625
418010	0.0
419010	-0.2109375
420010	0.0078125
421010	0.078125
422010	0.0
423010	0.0625
424010	0.0234375
425010	0.0390625
426010	0.0
427010	-0.23828125
428010	0.28125
429010	0.10546875
430010	-0.0234375
431010	0.0625
432010	0.0
433010	0.0625
434010	0.0234375
435010	-0.26171875
436010	0.03125
437010	0.08203125
438010	0.0
439010	0.0859375
440010	-0.0234375
441010	0.0625
442010	0.25
443010	-0.4921875
444010	0.0546875
445010	0.0625
446010	0.0
447010	0.0625
448010	0.0
449010	0.0859375
450010	-0.046875
451010	-0.21875
452010	0.03125
453010	0.0859375
454010	0.0234375
455010	0.0390625
456010	0.0
457010	0.0625
458010	0.0
459010	-0.22265625
460010	0.0078125
461010	0.08984375
462010	0.0
463010	0.0625
464010	0.0234375
465010	0.0390625
466010	0.0
467010	-0.24609375
468010	0.03125
469010	0.11328125
470010	-0.0234375
471010	0.0625
472010	0.0
473010	0.0625
474010	0.0234375
475010	-0.01953125
476010	-0.21875
477010	0.08984375
478010	0.0
479010	0.0859375
480010	-0.0234375
481010	0.0625
482010	0.0
483010	-0.24609375
484010	0.0546875
485010	0.06640625
486010	0.0
487010	0.0625
488010	0.0
489010	0.0859375
490010	0.2265625
491010	0.0
492010	-0.21875
493010	0.09375
494010	0.0234375
495010	0.0390625
496010	0.0
497010	0.0625
498010	0.0
499010	-0.22265625
500010	0.0078125
501010	0.08984375
502010	0.0
503010	0.0625
504010	0.0234375
505010	0.0390625
506010	0.25
507010	0.0
508010	-0.21875
509010	0.0546875
510010	0.0390625
511010	0.0
512010	0.0625
513010	0.0
514010	0.0859375
515010	-0.0234375
