N	Memory
307010	17.28515625
308010	17.3359375
309010	17.25390625
310010	17.31640625
311010	17.25390625
312010	17.31640625
313010	17.25390625
314010	17.265625
315010	17.53515625
316010	17.5859375
317010	17.50390625
318010	17.56640625
319010	17.50390625
320010	17.56640625
321010	17.50390625
322010	17.51171875
323010	17.78515625
324010	17.83984375
325010	17.75390625
326010	17.81640625
327010	17.75390625
328010	17.81640625
329010	17.75390625
330010	17.76171875
331010	18.03515625
332010	18.08984375
333010	18.00390625
334010	18.06640625
335010	18.00390625
336010	18.06640625
337010	18.00390625
338010	18.0078125
339010	18.28515625
340010	18.34375
341010	18.25390625
342010	18.31640625
343010	18.25390625
344010	18.31640625
345010	18.25390625
346010	18.2578125
347010	18.53515625
348010	18.59375
349010	18.50390625
350010	28.50390625
351010	28.56640625
352010	28.50390625
353010	28.56640625
354010	28.50390625
355010	28.53515625
356010	28.78515625
357010	28.81640625
358010	28.75390625
359010	28.81640625
360010	28.81640625
361010	28.75390625
362010	28.765625
363010	29.03515625
364010	29.09375
365010	28.75390625
366010	28.75390625
367010	28.81640625
368010	28.75390625
369010	28.81640625
370010	28.75390625
371010	28.78515625
372010	29.03515625
373010	29.06640625
374010	29.00390625
375010	29.06640625
376010	29.00390625
377010	29.06640625
378010	29.00390625
379010	29.03515625
380010	29.28125
381010	29.31640625
382010	29.25390625
383010	29.31640625
384010	29.25390625
385010	29.31640625
386010	29.25390625
387010	29.28125
388010	29.53515625
389010	29.5703125
390010	29.50390625
391010	29.56640625
392010	29.50390625
393010	29.56640625
394010	29.50390625
395010	29.53125
396010	29.78125
397010	29.8203125
398010	29.75390625
399010	29.81640625
400010	29.75390625
401010	29.81640625
402010	29.75390625
403010	29.77734375
404010	30.03515625
405010	30.07421875
406010	30.00390625
407010	30.06640625
408010	30.00390625
409010	30.06640625
410010	30.00390625
411010	30.02734375
412010	30.28125
413010	30.32421875
414010	30.25390625
415010	30.31640625
416010	30.25390625
417010	30.31640625
418010	30.25390625
419010	30.2734375
420010	30.53515625
421010	30.578125
422010	30.50390625
423010	30.56640625
424010	30.50390625
425010	30.56640625
426010	30.50390625
427010	30.52734375
428010	30.53125
429010	30.57421875
430010	30.50390625
431010	32.2109375
432010	32.31640625
433010	32.00390625
434010	32.06640625
435010	32.00390625
436010	32.02734375
437010	32.53515625
438010	32.57421875
439010	32.50390625
440010	32.56640625
441010	32.50390625
442010	32.56640625
443010	32.50390625
444010	32.5234375
445010	32.78515625
446010	32.828125
447010	32.75390625
448010	32.81640625
449010	32.7421875
450010	32.828125
451010	32.75390625
452010	32.7734375
453010	33.03515625
454010	33.078125
455010	33.00390625
456010	33.06640625
457010	32.9921875
458010	33.078125
459010	33.00390625
460010	33.01953125
461010	33.28515625
462010	33.33203125
463010	33.25390625
464010	33.31640625
465010	33.25390625
466010	33.31640625
467010	33.25390625
468010	33.0234375
469010	33.28515625
470010	33.328125
471010	33.25390625
472010	33.31640625
473010	33.25390625
474010	33.31640625
475010	33.25390625
476010	33.26953125
477010	33.53515625
478010	33.58203125
479010	33.50390625
480010	33.56640625
481010	33.50390625
482010	33.56640625
483010	33.50390625
484010	33.51953125
485010	33.78515625
486010	33.83203125
487010	33.75390625
488010	33.81640625
489010	33.75390625
490010	33.81640625
491010	33.75390625
492010	33.765625
493010	34.03515625
494010	34.0859375
495010	34.00390625
496010	34.06640625
497010	34.00390625
498010	34.06640625
499010	34.00390625
500010	34.015625
501010	34.28515625
502010	34.3359375
503010	34.25390625
504010	34.31640625
505010	34.25390625
506010	34.31640625
507010	34.25390625
508010	34.26171875
509010	34.53515625
510010	34.58984375
511010	34.50390625
512010	34.51171875
513010	34.55859375
514010	34.56640625
515010	34.50390625
516010	34.51171875
517010	34.78515625
518010	34.83984375
519010	34.75390625
520010	34.81640625
521010	34.73046875
522010	34.83984375
523010	34.75390625
524010	34.7578125
525010	35.03515625
526010	35.09375
527010	35.00390625
528010	35.06640625
529010	35.00390625
530010	35.06640625
531010	34.75390625
532010	34.76171875
533010	35.03515625
534010	35.08984375
535010	35.00390625
536010	35.06640625
537010	35.00390625
538010	35.06640625
539010	35.00390625
540010	35.0078125
541010	35.28515625
542010	35.34375
543010	35.25390625
544010	35.31640625
545010	35.25390625
546010	35.31640625
547010	35.25390625
548010	35.2578125
549010	35.53515625
550010	35.59375
551010	35.50390625
552010	35.56640625
553010	35.50390625
554010	35.50390625
555010	35.50390625
556010	35.50390625
557010	35.53515625
558010	35.78515625
559010	35.81640625
560010	35.75390625
561010	35.81640625
562010	35.75390625
563010	35.81640625
564010	35.76171875
565010	35.77734375
566010	36.03515625
567010	36.06640625
568010	36.00390625
569010	36.07421875
570010	35.99609375
571010	36.06640625
572010	36.00390625
573010	36.03125
574010	36.29296875
575010	36.3125
576010	36.25390625
577010	36.28125
578010	36.2890625
579010	36.32421875
580010	36.24609375
581010	36.28125
582010	36.52734375
583010	36.5703125
584010	36.5
585010	36.546875
586010	36.4921875
587010	36.5703125
588010	36.50390625
589010	36.53515625
590010	36.7734375
591010	36.8203125
592010	36.75
593010	36.81640625
594010	36.76171875
595010	36.55859375
596010	36.49609375
597010	36.52734375
598010	36.78515625
599010	36.82421875
600010	36.73828125
601010	36.8125
602010	36.75390625
603010	36.8125
604010	36.7578125
605010	36.765625
606010	37.02734375
607010	37.0703125
608010	37.00390625
609010	37.0703125
610010	36.9921875
611010	37.06640625
612010	37.0
613010	37.02734375
614010	37.2890625
615010	37.3125
616010	37.25390625
617010	37.31640625
618010	37.25390625
619010	37.32421875
620010	37.24609375
621010	37.2734375
622010	37.53515625
623010	37.578125
624010	37.51171875
625010	37.55859375
626010	37.50390625
627010	37.56640625
628010	37.50390625
629010	37.53125
630010	37.77734375
631010	37.828125
632010	37.75390625
633010	37.81640625
634010	37.76171875
635010	37.80859375
636010	37.75390625
637010	37.76953125
638010	38.03515625
639010	38.08984375
640010	37.99609375
641010	38.01953125
642010	38.05078125
643010	38.06640625
644010	38.01171875
645010	38.01171875
646010	38.28515625
647010	38.33203125
648010	38.25390625
649010	38.32421875
650010	38.2265625
651010	38.3359375
652010	38.25390625
653010	38.265625
654010	38.54296875
655010	38.578125
656010	38.50390625
657010	38.56640625
658010	38.50390625
659010	38.57421875
660010	38.24609375
661010	38.26953125
662010	38.53515625
663010	38.58203125
664010	38.51171875
665010	38.55859375
666010	38.50390625
667010	38.56640625
668010	38.50390625
669010	38.5234375
670010	38.77734375
671010	38.8359375
672010	38.75390625
673010	38.81640625
674010	38.76171875
675010	38.80859375
676010	38.75390625
677010	38.765625
678010	39.03515625
679010	39.09375
680010	38.99609375
681010	39.06640625
682010	39.00390625
683010	39.06640625
684010	39.01171875
685010	39.00390625
686010	39.28515625
687010	39.33984375
688010	39.25390625
689010	39.32421875
690010	39.24609375
691010	39.31640625
692010	39.25390625
693010	39.26171875
694010	39.54296875
695010	39.58203125
696010	39.50390625
697010	39.56640625
698010	39.50390625
699010	39.57421875
700010	59.49609375
